sampleNumber,e,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
1,0.000000,0.316630,0.680646,0.408823,-0.649405,0.459617,-0.605826,0.033727,0.526271,-0.849648,5.187805,0.317372,0.182515,0.572991,0.714475,0.863030,0.535168,0.143858,0.313726,0.678431,0.403922
2,0.000000,0.712818,0.831319,0.972689,0.276310,0.040227,-0.960226,-0.165840,0.097927,-0.981278,5.860365,0.976277,0.450990,0.577425,2.160339,0.111200,0.005283,0.281616,0.709804,0.827451,0.968628
3,0.000000,0.098935,0.667689,0.236105,-0.617662,-0.235845,-0.750247,0.254022,0.423190,-0.869703,8.043054,0.406337,0.033595,0.902229,2.513650,0.477407,0.430813,0.052107,0.101961,0.666667,0.235294
4,0.000000,0.656488,0.834736,0.611962,-0.179068,0.730127,-0.659431,0.360346,0.340273,-0.868542,8.459776,0.921157,0.350887,0.264714,1.106264,0.280461,0.245809,0.186217,0.658824,0.831373,0.607843
5,0.000000,0.266519,0.335164,0.393065,0.004819,-0.007608,-0.999960,0.462207,0.326554,-0.824455,8.402186,0.592301,0.717534,0.583486,1.025058,0.035505,0.130099,0.446847,0.266667,0.333333,0.384314
6,0.000000,0.058092,0.998626,0.711892,0.044703,-0.083539,-0.995501,0.455763,-0.128205,-0.880820,0.360264,0.871085,0.683479,0.555210,0.919165,0.057037,0.371008,0.826233,0.062745,1.000000,0.709804
7,0.000000,0.034778,0.741087,0.270289,-0.673428,0.211932,-0.708223,0.282444,0.598975,-0.749302,5.557657,0.678688,0.036415,0.248845,2.432819,0.652271,0.858654,0.743348,0.039216,0.741177,0.266667
8,0.000000,0.734747,0.293755,0.031034,-0.533678,-0.498139,-0.683407,0.537333,-0.138781,-0.831873,3.804747,0.654534,0.528152,0.151414,1.286977,0.634641,0.402497,0.041726,0.737255,0.294118,0.035294
9,0.000000,0.612733,0.298217,0.349905,-0.267781,0.505750,-0.820067,0.187813,-0.632719,-0.751261,6.913801,0.961746,0.740088,0.473275,0.752998,0.274806,0.561596,0.524505,0.611765,0.298039,0.345098
10,0.000000,0.129793,0.763818,0.723426,0.069607,-0.708802,-0.701965,0.699643,0.255781,-0.667140,1.594461,0.884993,0.172339,0.022649,2.245930,0.834092,0.221535,0.248452,0.133333,0.760784,0.717647
11,0.000000,0.659673,0.843009,0.805390,0.460091,-0.545552,-0.700492,-0.408186,0.407058,-0.817122,8.510777,0.712479,0.331027,0.536221,1.256328,0.117622,0.155987,0.993665,0.662745,0.839216,0.803922
12,0.000000,0.103712,0.772337,0.688844,-0.480052,-0.434543,-0.762052,-0.313905,-0.691416,-0.650698,2.774030,0.266312,0.974290,0.935842,0.483345,0.016657,0.943337,0.261959,0.105882,0.768628,0.686275
13,0.000000,0.494003,0.541231,0.233743,-0.061920,-0.732969,-0.677438,-0.419205,-0.361216,-0.832941,0.218684,0.923371,0.018223,0.232617,2.346406,0.092609,0.469693,0.244749,0.494118,0.541177,0.231373
14,0.000000,0.385473,0.385771,0.260646,0.117902,-0.079967,-0.989800,-0.036757,0.009436,-0.999280,8.557668,0.595203,0.386265,0.851486,1.693989,0.773147,0.312112,0.847027,0.384314,0.384314,0.258824
15,0.000000,0.892737,0.777982,0.468051,-0.390670,0.399594,-0.829278,-0.509151,-0.468094,-0.722256,4.191028,0.192261,0.701292,0.299874,1.910040,0.571580,0.335054,0.324684,0.890196,0.776471,0.466667
16,0.000000,0.554563,0.618881,0.762130,-0.231057,0.483265,-0.844434,0.328422,0.350833,-0.876958,6.604139,0.630693,0.020031,0.913010,2.968615,0.727768,0.753914,0.908868,0.552941,0.619608,0.756863
17,0.000000,0.138483,0.058058,0.678188,0.167582,0.535080,-0.828013,-0.734635,-0.063714,-0.675465,5.821641,0.566299,0.131688,0.949146,1.951197,0.235341,0.095166,0.815336,0.137255,0.058824,0.674510
18,0.000000,0.540365,0.469476,0.354160,-0.418604,0.106293,-0.901927,-0.139058,-0.571569,-0.808685,8.712167,0.184923,0.754366,0.335751,2.809924,0.524888,0.837629,0.243428,0.533333,0.466667,0.349020
19,0.000000,0.162420,0.812989,0.425881,-0.147977,-0.354680,-0.923204,0.148085,-0.206920,-0.967086,5.276202,0.455364,0.463518,0.685152,2.819722,0.304610,0.050841,0.662257,0.164706,0.811765,0.419608
20,0.000000,0.867645,0.157078,0.216448,0.182260,0.270770,-0.945233,0.818435,0.071751,-0.570102,0.132306,0.186837,0.352321,0.124191,2.391259,0.983723,0.829369,0.686639,0.870588,0.156863,0.215686
21,0.000000,0.122175,0.134051,0.965036,-0.296021,-0.316176,-0.901335,0.591042,0.188981,-0.784191,2.981720,0.396465,0.907762,0.665016,1.212831,0.107449,0.255765,0.492891,0.121569,0.133333,0.956863
22,0.000000,0.118098,0.941020,0.439562,-0.002456,0.115910,-0.993257,-0.421569,0.444668,-0.790285,8.880343,0.815521,0.682775,0.069240,0.311082,0.603838,0.422870,0.257531,0.117647,0.941177,0.435294
23,0.000000,0.230702,0.013537,0.078061,-0.367567,-0.013244,-0.929903,-0.484190,0.161313,-0.859964,6.068583,0.673458,0.999532,0.116352,1.948581,0.080739,0.930556,0.803376,0.231373,0.015686,0.078431
24,0.000000,0.731138,0.446893,0.901478,-0.178388,-0.188379,-0.965759,-0.017101,-0.103627,-0.994469,1.972117,0.080505,0.960111,0.429366,2.156399,0.993304,0.501953,0.738742,0.733333,0.447059,0.898039
25,0.000000,0.688122,0.675298,0.370097,0.568505,-0.421120,-0.706725,0.458980,-0.431172,-0.776806,5.351359,0.040037,0.106550,0.660121,2.349446,0.035926,0.214037,0.295350,0.686275,0.670588,0.364706
26,0.000000,0.881822,0.339232,0.910035,0.022334,0.758784,-0.650960,-0.151819,-0.483647,-0.861996,6.912150,0.413751,0.082800,0.356121,0.507351,0.701916,0.376031,0.122013,0.878431,0.337255,0.905882
