sampleNumber,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
2,0.746936,0.222206,0.218913,-0.794478,0.155869,-0.586950,0.404302,-0.434041,-0.805077,2.498754,0.893400,0.762901,0.415564,0.062919,0.288560,0.373642,0.897096,0.447059,0.227451,0.235294
3,0.078655,0.451712,0.091904,0.146804,-0.163015,-0.975641,-0.016768,0.114907,-0.993235,79.891830,0.295876,0.254589,0.180482,0.922938,0.175488,0.905885,0.206167,0.352941,0.756863,0.305882
4,0.012088,0.691916,0.326397,-0.039469,-0.045957,-0.998163,-0.031998,0.019583,-0.999296,1.649268,0.462233,0.972933,0.667630,0.136939,0.511624,0.677211,0.910764,0.145098,0.705882,0.427451
5,0.884074,0.156709,0.891643,-0.153124,-0.370912,-0.915957,0.285984,0.336495,-0.897209,1.037872,0.319840,0.900794,0.723463,0.119440,0.695349,0.925700,0.827554,0.537255,0.294118,0.627451
6,0.108904,0.144236,0.515749,-0.378938,0.646543,-0.662109,0.395093,0.422625,-0.815653,3.320791,0.279490,0.533952,0.465594,0.117084,0.939305,0.815940,0.698072,0.215686,0.278431,0.478431
7,0.366931,0.483222,0.854502,0.702087,0.238615,-0.670923,-0.789637,-0.112441,-0.603184,Infinity,0.440070,0.391621,0.965372,1.024625,0.207043,0.810304,0.613507,0.207843,0.270588,0.462745
8,0.133581,0.482691,0.935455,-0.168976,-0.027545,-0.985235,-0.167222,-0.049631,-0.984669,0.325685,0.746172,0.197545,0.142356,0.037844,0.484894,0.092712,0.169297,0.188235,0.200000,0.301961
9,0.176993,0.746019,0.423174,0.001610,-0.016918,-0.999856,0.209671,0.057839,-0.976060,0.702055,0.936841,0.627660,0.330662,0.246121,0.878214,0.159523,0.517859,0.337255,0.509804,0.400000
10,0.228333,0.014248,0.948232,-0.235677,0.637337,-0.733661,0.062631,-0.025538,-0.997710,2.406993,0.593847,0.234672,0.001316,0.360021,0.438413,0.985333,0.845692,0.356863,0.176471,0.713726
11,0.563790,0.265240,0.429289,0.336683,0.786192,-0.518216,0.231502,0.676781,-0.698838,0.963756,0.008541,0.752427,0.361469,1.341547,0.881107,0.511343,0.983156,0.745098,0.486275,0.670588
12,0.104000,0.795332,0.318679,0.570577,0.324353,-0.754478,-0.172984,-0.085432,-0.981212,0.779280,0.800603,0.038449,0.901472,0.023709,0.315063,0.056679,0.500816,0.188235,0.188235,0.337255
13,0.107250,0.194804,0.274011,0.006724,0.049600,-0.998747,0.008290,0.050000,-0.998715,2.889970,0.580282,0.000754,0.707549,0.055889,0.586195,0.982423,0.977410,0.254902,0.207843,0.423529
14,0.291864,0.608518,0.923262,-0.633555,0.097007,-0.767592,0.049494,0.374067,-0.926080,1.042994,0.218126,0.620155,0.918093,0.114775,0.890010,0.318824,0.667988,0.313726,0.458824,0.686275
15,0.306584,0.637228,0.159419,0.124466,-0.778354,-0.615365,-0.109631,0.055263,-0.992435,0.131791,0.903755,0.998502,0.362111,0.008396,0.949239,0.540770,0.120995,0.219608,0.329412,0.141177
16,0.487405,0.041023,0.840645,0.477971,-0.054593,-0.876677,-0.073438,0.725202,-0.684609,2.877721,0.671828,0.586992,0.520961,0.391663,0.575278,0.328430,0.906870,0.549020,0.180392,0.737255
17,0.524474,0.253796,0.978664,0.521700,0.654474,-0.547259,-0.027878,-0.022925,-0.999348,0.497336,0.400570,0.962031,0.111856,0.843418,0.798864,0.486814,0.792161,0.635294,0.415686,0.854902
18,0.993631,0.760449,0.297243,0.700486,0.028555,-0.713095,-0.017530,0.029494,-0.999411,0.464616,0.402373,0.798996,0.693342,0.399937,0.327995,0.989247,0.231520,0.615686,0.698039,0.329412
19,0.163660,0.827956,0.124604,-0.049162,0.469604,-0.881507,-0.141050,-0.495391,-0.857142,1.417089,0.513655,0.830749,0.622743,0.130377,0.048695,0.403688,0.758887,0.196078,0.607843,0.231373
20,0.942228,0.897522,0.706409,0.348821,0.175668,-0.920578,0.219948,0.123651,-0.967643,1.253338,0.457549,0.577141,0.927359,0.312514,0.371699,0.827049,0.680599,0.635294,0.725490,0.698039
21,0.188892,0.070897,0.735730,0.684200,-0.065905,-0.726311,-0.598709,0.422020,-0.680769,61.220960,0.953187,0.660518,0.312180,0.486856,0.909633,0.023999,0.916217,0.462745,0.235294,0.709804
22,0.460104,0.637271,0.841013,-0.798937,-0.278571,-0.533008,0.623630,-0.503971,-0.597577,Infinity,0.322228,0.481775,0.607391,0.256780,0.370030,0.895303,0.539636,0.443137,0.219608,0.674510
23,0.845121,0.067145,0.298251,0.174949,-0.290527,-0.940738,0.013075,-0.061373,-0.998029,0.534293,0.963781,0.761818,0.454355,0.044624,0.118406,0.442883,0.909945,0.576471,0.168628,0.278431
24,0.816851,0.194167,0.805784,0.430099,0.323904,-0.842675,0.833642,0.158557,-0.529056,0.635546,0.660055,0.358968,0.202337,0.079284,0.562331,0.053260,0.187977,0.525490,0.172549,0.352941
25,0.895900,0.853926,0.789140,0.110304,0.222374,-0.968702,-0.046082,-0.010825,-0.998879,9.875958,0.008670,0.119315,0.094391,0.450690,0.581631,0.618952,0.693297,0.670588,0.682353,0.666667
26,0.948075,0.108756,0.764299,0.624908,0.389809,-0.676416,-0.161933,-0.666619,-0.727597,11.813930,0.125065,0.171555,0.905571,0.589528,0.099999,0.640652,0.182960,0.501961,0.274510,0.705882
27,0.808255,0.555300,0.030124,-0.368905,-0.309112,-0.876561,0.150298,-0.110219,-0.982478,2.196994,0.036394,0.731102,0.561581,1.309656,0.500746,0.321489,0.674163,0.780392,0.658824,0.231373
28,0.167105,0.656769,0.851462,0.355611,0.272247,-0.894104,0.227128,-0.019432,-0.973671,0.021625,0.643710,0.071895,0.503075,0.994308,0.213624,0.104271,0.107886,0.282353,0.462745,0.533333
29,0.526814,0.652862,0.084629,-0.118148,0.232811,-0.965319,0.652928,-0.313896,-0.689315,4.183255,0.815044,0.254985,0.689496,1.093291,0.142839,0.559223,0.859780,0.615686,0.698039,0.325490
30,0.521056,0.333095,0.171544,-0.168640,-0.013568,-0.985584,-0.060660,0.476127,-0.877282,1.968454,0.219239,0.453174,0.620980,1.770132,0.273301,0.620360,0.731271,0.592157,0.576471,0.450980
31,0.902667,0.861804,0.805003,0.132356,0.550492,-0.824282,-0.133429,0.004092,-0.991050,2.837980,0.640715,0.816853,0.504550,0.090393,0.972325,0.459401,0.091131,0.717647,0.760784,0.564706
32,0.330541,0.275065,0.769721,0.620513,-0.199155,-0.758486,0.285017,0.087264,-0.954542,0.688049,0.463523,0.332629,0.906937,0.826755,0.765736,0.166871,0.604599,0.505882,0.329412,0.756863
33,0.443283,0.616328,0.031397,0.661646,-0.438335,-0.608348,-0.001286,0.012300,-0.999924,1.064693,0.790860,0.411751,0.125917,2.452492,0.447051,0.192634,0.195866,0.666667,0.643137,0.223529
34,0.281580,0.579565,0.650211,0.247209,-0.712733,-0.656430,0.048414,0.505541,-0.861444,8.424034,0.880951,0.423801,0.941450,0.757533,0.041468,0.678726,0.705838,0.431373,0.647059,0.772549
35,0.724325,0.387978,0.233202,-0.218301,-0.197767,-0.955632,-0.181576,-0.591554,-0.785554,0.216098,0.531676,0.096756,0.762950,0.130457,0.380648,0.815891,0.462066,0.431373,0.352941,0.266667
36,0.744713,0.906894,0.309659,0.210612,-0.599382,-0.772259,0.203534,-0.507875,-0.837041,1.861266,0.226904,0.623175,0.583749,0.300513,0.447721,0.719902,0.877976,0.545098,0.749020,0.443137
37,0.667442,0.107461,0.675730,0.591469,0.297618,-0.749392,0.019384,-0.750003,-0.661151,4.625244,0.122331,0.248330,0.219744,1.279291,0.070981,0.861176,0.977859,0.458824,0.360784,0.823530
38,0.098876,0.057701,0.385232,-0.232082,0.141689,-0.962321,-0.356602,-0.002538,-0.934253,9.235179,0.357648,0.725788,0.379342,3.239375,0.106508,0.348773,0.297337,0.298039,0.345098,0.627451
