sampleNumber,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
1,0.222315,0.388364,0.472862,-0.158351,0.172352,-0.972224,0.060041,-0.007355,-0.998169,1.024841,0.570468,0.178465,0.379108,0.152369,0.727124,0.377205,0.851287,0.078431,0.078431,0.172549
2,0.329152,0.466689,0.635127,0.107584,0.272429,-0.956142,-0.233665,-0.405536,-0.883709,0.457445,0.761424,0.024400,0.034586,0.143490,0.557868,0.773534,0.867234,0.098039,0.137255,0.211765
3,0.108613,0.064038,0.954939,-0.517328,-0.550281,-0.655410,-0.475444,-0.545494,-0.690210,0.179275,0.427777,0.076209,0.058332,0.035963,0.582905,0.239402,0.143462,0.007843,0.003922,0.050980
4,0.702746,0.468700,0.539851,0.566454,-0.620861,-0.541906,-0.047254,-0.131930,-0.990132,1.063190,0.284840,0.927276,0.167841,0.674248,0.867926,0.320940,0.364179,0.513726,0.274510,0.254902
5,0.886251,0.545223,0.055707,-0.074412,0.040737,-0.996395,0.553997,-0.239916,-0.797200,0.197503,0.234529,0.218913,0.786900,0.680426,0.327608,0.671045,0.739489,0.411765,0.345098,0.027451
6,0.889394,0.159343,0.842235,-0.012635,-0.502186,-0.864667,-0.077857,0.727993,-0.681150,12.723340,0.060134,0.758970,0.618136,0.179488,0.901894,0.147178,0.100329,0.360784,0.098039,0.466667
7,0.968751,0.297905,0.679788,-0.338964,0.070591,-0.938147,-0.732334,-0.264189,-0.627607,0.850783,0.657186,0.719036,0.036962,0.485173,0.414314,0.857027,0.160646,0.505882,0.192157,0.180392
8,0.339680,0.273699,0.868100,-0.027660,-0.133186,-0.990705,0.011071,0.381589,-0.924266,1.721275,0.226879,0.836742,0.988711,0.164185,0.371530,0.269882,0.838016,0.074510,0.145098,0.635294
9,0.292028,0.084914,0.611755,-0.147013,-0.412450,-0.899039,0.064287,-0.852464,-0.518819,6.786429,0.169730,0.482769,0.646209,0.026727,0.586497,0.969131,0.856413,0.043137,0.031373,0.462745
10,0.964575,0.051216,0.755008,-0.096824,0.318470,-0.942975,0.628655,0.317441,-0.709947,0.390348,0.193430,0.855863,0.973867,0.522160,0.678772,0.998752,0.579697,0.556863,0.027451,0.447059
11,0.705454,0.764141,0.078267,0.255333,-0.147117,-0.955595,0.419617,-0.353689,-0.835958,0.408065,0.756898,0.011635,0.522087,0.017180,0.343037,0.376885,0.225921,0.180392,0.039216,0.003922
12,0.264220,0.047009,0.210073,0.144615,0.587151,-0.796455,0.058709,0.123747,-0.990576,0.211280,0.022944,0.952800,0.446272,0.180470,0.230721,0.761682,0.379002,0.023529,0.007843,0.027451
13,0.213076,0.216855,0.513533,0.521567,0.167191,-0.836669,-0.435823,-0.426696,-0.792457,0.191499,0.660127,0.806530,0.308420,0.001416,0.169826,0.853967,0.529654,0.007843,0.007843,0.007843
14,0.277644,0.776100,0.797600,0.001805,0.153149,-0.988201,-0.111472,0.780079,-0.615672,2.582220,0.382671,0.525391,0.180031,0.035559,0.499760,0.560570,0.101447,0.058824,0.305882,0.098039
15,0.626052,0.609502,0.789758,0.457216,0.466167,-0.757392,-0.739812,-0.435798,-0.512599,Infinity,0.490695,0.212717,0.202238,0.267695,0.225731,0.317178,0.807358,0.050980,0.282353,0.090196
16,0.192572,0.593874,0.525054,0.382020,0.048364,-0.922888,0.630725,-0.318410,-0.707673,0.019606,0.853547,0.622915,0.774596,0.008105,0.630718,0.977499,0.005833,0.003922,0.035294,0.007843
17,0.123887,0.879221,0.598526,0.634528,0.088740,-0.767789,0.770946,-0.344099,-0.535946,0.542160,0.619049,0.016006,0.836398,0.130514,0.890892,0.426350,0.184274,0.027451,0.203922,0.196078
18,0.624974,0.425810,0.763077,-0.395555,0.394447,-0.829426,0.058657,-0.788032,-0.612834,16.495890,0.756981,0.057344,0.106092,0.126980,0.560162,0.882227,0.377807,0.431373,0.125490,0.172549
19,0.077435,0.359475,0.318832,-0.044992,-0.474398,-0.879160,0.270343,-0.385642,-0.882154,0.099087,0.243457,0.777300,0.929753,0.674938,0.792573,0.148441,0.096472,0.039216,0.101961,0.074510
20,0.810515,0.989703,0.069179,-0.027778,-0.017835,-0.999455,0.504011,0.375068,-0.778008,2.175111,0.544250,0.885666,0.415005,0.019870,0.630176,0.198834,0.516692,0.309804,0.607843,0.007843
21,0.112604,0.786382,0.433457,0.204192,-0.274524,-0.939650,0.050641,-0.767206,-0.639398,0.748960,0.264745,0.256115,0.326095,0.063375,0.201349,0.979956,0.807528,0.007843,0.203922,0.094118
22,0.477139,0.562257,0.228536,0.339337,0.522001,-0.782538,-0.173542,0.179872,-0.968261,4.875199,0.713488,0.435896,0.374467,0.180257,0.657802,0.036526,0.575656,0.368628,0.239216,0.090196
23,0.971196,0.803771,0.161392,-0.097826,-0.166266,-0.981217,-0.064074,-0.031108,-0.997460,0.071276,0.996951,0.449984,0.946204,0.638561,0.553822,0.693144,0.295012,0.572549,0.509804,0.050980
24,0.804798,0.229149,0.207638,-0.153065,-0.149973,-0.976770,-0.171835,0.615693,-0.769022,6.343379,0.669369,0.566873,0.146105,0.067810,0.221953,0.966839,0.439626,0.580392,0.137255,0.023529
25,0.158558,0.932186,0.579907,0.577128,-0.444110,-0.685339,-0.626760,-0.400955,-0.668137,1.527943,0.852008,0.672268,0.608995,0.074888,0.191628,0.998943,0.643083,0.027451,0.333333,0.156863
26,0.217165,0.617468,0.386082,-0.071146,0.435096,-0.897569,0.731772,-0.033399,-0.680731,1.235160,0.953772,0.136183,0.817741,0.005418,0.181493,0.718003,0.059540,0.074510,0.027451,0.121569
27,0.370712,0.468192,0.852869,0.051925,-0.282511,-0.957858,0.333663,-0.643286,-0.689095,0.597569,0.013932,0.779193,0.863460,0.084009,0.258724,0.137854,0.861927,0.027451,0.133333,0.364706
28,0.250886,0.676865,0.625114,0.199651,-0.508215,-0.837769,-0.442948,0.029695,-0.896056,12.971940,0.166816,0.445004,0.242389,0.588837,0.752039,0.735560,0.543405,0.156863,0.584314,0.392157
29,0.054640,0.879356,0.992045,-0.135268,0.004312,-0.990800,0.272572,-0.818999,-0.504921,0.696099,0.978710,0.953645,0.501886,2.886595,0.019171,0.051998,0.144639,0.007843,0.423529,0.627451
30,0.977840,0.754752,0.413254,0.469627,0.548705,-0.691645,-0.012634,-0.118411,-0.992884,0.091499,0.764006,0.204718,0.541962,0.360194,0.344142,0.330697,0.748194,0.356863,0.254902,0.196078
31,0.895822,0.222791,0.624738,-0.195693,-0.704341,-0.682355,-0.033302,-0.830163,-0.556525,0.608352,0.281083,0.978490,0.410937,0.021135,0.378094,0.902745,0.879793,0.117647,0.078431,0.117647
32,0.001861,0.022386,0.833642,-0.039985,-0.441119,-0.896558,-0.443297,0.065831,-0.893954,0.265267,0.706422,0.685468,0.440635,0.095756,0.170033,0.796957,0.938412,0.003922,0.003922,0.258824
33,0.110125,0.867678,0.086381,-0.051938,0.188452,-0.980708,-0.577772,-0.138038,-0.804441,0.166109,0.989116,0.807473,0.071375,0.216932,0.414838,0.631639,0.076663,0.019608,0.341177,0.003922
34,0.175480,0.289955,0.278509,-0.626377,-0.427095,-0.652106,-0.610120,0.544729,-0.575347,1.540289,0.549937,0.282617,0.596121,0.281293,0.420977,0.554059,0.502083,0.050980,0.098039,0.109804
35,0.937927,0.263544,0.167481,-0.642165,0.160887,-0.749493,-0.581856,0.215341,-0.784265,9.471518,0.281790,0.190433,0.189248,0.184766,0.028074,0.192949,0.296664,0.411765,0.070588,0.039216
36,0.139749,0.173493,0.419241,0.256125,-0.670539,-0.696260,0.004910,0.005440,-0.999973,0.383007,0.053914,0.263108,0.085076,0.003253,0.082384,0.952309,0.235588,0.003922,0.003922,0.003922
37,0.950982,0.266651,0.857525,-0.228048,0.099239,-0.968579,-0.182648,-0.634871,-0.750718,0.499079,0.576305,0.640941,0.430487,0.993577,0.026777,0.340133,0.596491,0.231373,0.145098,0.627451
38,0.998824,0.389868,0.847728,-0.009843,0.035921,-0.999306,0.008484,-0.800881,-0.598763,4.797352,0.287915,0.105980,0.740640,0.122251,0.512815,0.522967,0.138009,0.349020,0.086275,0.545098
39,0.745282,0.458014,0.792784,0.345270,-0.765143,-0.543456,-0.072872,0.655372,-0.751783,Infinity,0.868755,0.437008,0.457809,0.044250,0.842794,0.885244,0.006903,0.321569,0.074510,0.501961
40,0.348467,0.936932,0.046288,-0.109160,0.101388,-0.988840,0.033880,0.047544,-0.998294,0.457244,0.541115,0.964570,0.545780,0.434621,0.780927,0.273221,0.959521,0.192157,0.462745,0.023529
