m_r,m_g,m_b,x,y,z
0.00,0.00,0.00,1.902,1.875,1.609
0.10,0.00,0.00,2.152,1.983,1.620
0.00,0.10,0.00,2.633,3.447,1.678
0.00,0.00,0.10,2.302,2.006,3.927
0.10,0.10,0.10,3.289,3.721,4.010
0.20,0.00,0.00,4.636,3.222,1.637
0.00,0.20,0.00,4.725,7.930,1.906
0.00,0.00,0.20,3.319,2.393,9.348
0.20,0.20,0.20,8.989,9.915,9.841
0.30,0.00,0.00,8.782,5.298,1.707
0.00,0.30,0.00,8.344,15.640,2.411
0.00,0.00,0.30,5.354,3.177,20.360
0.30,0.30,0.30,18.830,20.520,21.500
0.40,0.00,0.00,15.650,8.733,1.795
0.00,0.40,0.00,15.070,29.980,3.270
0.00,0.00,0.40,8.750,4.461,38.860
0.40,0.40,0.40,36.180,39.910,41.150
0.50,0.00,0.00,25.870,13.860,1.968
0.00,0.50,0.00,23.440,47.820,4.349
0.00,0.00,0.50,13.640,6.322,65.410
0.50,0.50,0.50,59.780,64.790,69.120
0.60,0.00,0.00,37.680,19.770,2.181
0.00,0.60,0.00,34.190,70.860,5.707
0.00,0.00,0.60,18.950,8.329,94.430
0.60,0.60,0.60,87.990,96.080,99.960
0.70,0.00,0.00,50.020,25.940,2.364
0.00,0.70,0.00,44.630,93.100,7.025
0.00,0.00,0.70,25.020,10.600,127.400
0.70,0.70,0.70,117.100,127.000,134.400
0.80,0.00,0.00,64.780,33.300,2.551
0.00,0.80,0.00,58.770,123.200,8.780
0.00,0.00,0.80,32.430,13.370,167.200
0.80,0.80,0.80,153.600,167.500,176.400
0.90,0.00,0.00,87.200,44.510,2.882
0.00,0.90,0.00,76.450,161.200,11.110
0.00,0.00,0.90,42.970,17.280,225.100
0.90,0.90,0.90,204.700,220.800,237.200
1.00,0.00,0.00,110.400,56.130,3.215
0.00,1.00,0.00,98.600,208.500,13.900
0.00,0.00,1.00,55.100,21.860,289.400
1.00,1.00,1.00,262.100,284.200,305.000
