sampleNumber,e,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
1,0.000000,0.232921,0.197568,0.591288,-0.576630,0.636657,-0.512022,-0.746877,-0.088608,-0.659032,336.329900,0.283428,0.727935,0.246873,10.192210,0.792028,0.426421,0.794678,0.337255,0.407843,0.509804
2,0.000000,0.129263,0.062938,0.965331,-0.197117,-0.417867,-0.886867,0.641225,-0.255772,-0.723471,322.765400,0.201646,0.894012,0.717822,47.831020,0.331753,0.094064,0.390334,0.274510,0.278431,0.898039
3,0.000000,0.858668,0.763831,0.204951,0.418269,0.649900,-0.634572,0.031419,-0.657536,-0.752768,279.883700,0.193210,0.359348,0.774988,1.100264,0.360710,0.989489,0.674847,0.305882,0.372549,0.227451
4,0.000000,0.622312,0.702559,0.738543,0.598277,0.097697,-0.795311,-0.155657,-0.425250,-0.891590,29.923770,0.446193,0.538701,0.130259,102.430000,0.831650,0.193288,0.212877,0.819608,0.635294,0.658824
5,0.000000,0.189958,0.815998,0.420156,0.731034,-0.451404,-0.511688,0.451091,-0.617196,-0.644660,313.401500,0.024256,0.918534,0.133457,34.930420,0.142440,0.866377,0.792361,0.247059,0.984314,0.533333
6,0.000000,0.543042,0.019286,0.982638,0.191857,-0.630315,-0.752259,0.068119,0.045946,-0.996619,376.337800,0.875121,0.825867,0.053937,39.603170,0.408360,0.369223,0.103159,0.756863,0.223529,0.525490
7,0.000000,0.302920,0.433203,0.549417,-0.567010,-0.506543,-0.649549,-0.216149,-0.382843,-0.898171,336.400100,0.545873,0.169799,0.186799,64.306360,0.345811,0.044486,0.339776,0.505882,0.360784,0.580392
8,0.000000,0.905923,0.440712,0.939187,-0.763340,0.143404,-0.629879,0.479065,0.512392,-0.712707,146.568900,0.545387,0.757428,0.188263,40.333090,0.199224,0.733668,0.384946,0.611765,0.560784,0.690196
9,0.000000,0.042012,0.614107,0.203798,-0.578391,0.503195,-0.642074,-0.414320,0.710741,-0.568494,41.705190,0.352823,0.463266,0.111022,52.405840,0.216531,0.922474,0.524532,0.180392,0.729412,0.376471
10,0.000000,0.788995,0.421817,0.106367,-0.017684,0.509104,-0.860523,-0.029993,0.529020,-0.848080,205.558800,0.842539,0.478184,0.535160,6.701002,0.213216,0.585087,0.075222,0.800000,0.466667,0.247059
11,0.000000,0.947516,0.260957,0.501812,0.454737,0.417777,-0.786560,-0.465471,0.453136,-0.760266,225.942900,0.452554,0.520963,0.340984,12.940690,0.852304,0.491356,0.008067,0.717647,0.372549,0.368628
12,0.000000,0.420275,0.169116,0.825717,0.087910,-0.132582,-0.987266,0.442064,-0.456510,-0.772126,37.392720,0.718355,0.468815,0.578819,13.318820,0.441206,0.365426,0.677244,0.423529,0.243137,0.611765
13,0.000000,0.498174,0.113461,0.164030,-0.001790,-0.089266,-0.996006,0.383022,-0.635748,-0.670163,179.823600,0.891159,0.180608,0.596179,33.616780,0.732314,0.810869,0.821175,0.670588,0.290196,0.368628
14,0.000000,0.825253,0.675844,0.117279,-0.534693,0.363397,-0.762919,0.151636,0.607976,-0.779340,182.535800,0.738290,0.464697,0.804928,115.702000,0.934310,0.452345,0.409854,0.996079,0.788235,0.376471
15,0.000000,0.239244,0.290805,0.971955,-0.846587,-0.031906,-0.531294,-0.032523,-0.519957,-0.853573,168.189000,0.358871,0.620180,0.081528,34.067940,0.169065,0.021159,0.001560,0.305882,0.345098,0.262745
16,0.000000,0.519424,0.106494,0.026887,0.599321,0.408104,-0.688669,0.114923,0.493866,-0.861910,12.899100,0.041892,0.656029,0.087001,30.678330,0.052424,0.682305,0.957603,0.294118,0.270588,0.203922
