sampleNumber,e,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
1,0.000000,0.454076,0.630470,0.363096,0.275384,-0.704158,-0.654465,0.229959,-0.371122,-0.899660,0.197416,0.210750,0.384499,0.355664,0.159048,0.280389,0.627155,0.383328,0.003922,0.011765,0.003922
2,0.000000,0.359119,0.382608,0.565223,-0.660844,0.053922,-0.748584,0.481032,0.622624,-0.617209,1.273083,0.172850,0.360420,0.377757,1.948334,0.470507,0.658687,0.164810,0.078431,0.137255,0.070588
3,0.000000,0.078904,0.141657,0.510330,-0.472159,0.033123,-0.880891,-0.442135,-0.180871,-0.878523,5.932454,0.837044,0.973710,0.784731,1.329458,0.188355,0.928977,0.343951,0.000000,0.023529,0.317647
4,0.000000,0.741445,0.983125,0.596256,0.358384,0.484474,-0.798026,-0.552566,-0.257814,-0.792593,6.127848,0.182891,0.449602,0.415741,0.433290,0.506372,0.273926,0.337681,0.098039,0.188235,0.047059
5,0.000000,0.801413,0.986841,0.623498,0.719150,-0.451885,-0.527848,0.426675,0.456217,-0.780907,1.241706,0.900290,0.683331,0.102758,1.214615,0.668477,0.101995,0.970822,0.533333,0.184314,0.372549
6,0.000000,0.227828,0.583833,0.963878,0.549255,0.066193,-0.833029,-0.262699,-0.444869,-0.856201,3.951061,0.612566,0.458023,0.251226,0.291063,0.602970,0.465990,0.836791,0.000000,0.047059,0.235294
7,0.000000,0.702998,0.253612,0.832913,0.047279,-0.864095,-0.501104,0.204230,-0.599943,-0.773536,0.685754,0.914983,0.511756,0.393923,0.077073,0.434300,0.552695,0.580732,0.062745,0.000000,0.015686
8,0.000000,0.209859,0.270098,0.465480,-0.554370,-0.592038,-0.584949,-0.365423,0.586094,-0.723160,4.960829,0.018445,0.743109,0.667125,1.116844,0.610332,0.600357,0.358120,0.007843,0.023529,0.082353
9,0.000000,0.479539,0.599600,0.124977,-0.326740,-0.080046,-0.941718,0.445384,0.565869,-0.693848,3.433377,0.260669,0.063717,0.391141,0.550593,0.977576,0.545776,0.945030,0.090196,0.074510,0.000000
10,0.000000,0.763659,0.761403,0.003310,-0.363918,-0.177784,-0.914307,0.461592,0.648785,-0.604989,1.631279,0.655110,0.214380,0.394765,1.890161,0.800306,0.684631,0.054069,0.737255,0.615686,0.000000
11,0.000000,0.347170,0.091093,0.078553,-0.569063,0.219880,-0.792351,0.252489,0.691445,-0.676871,5.946940,0.204648,0.921024,0.333816,0.705090,0.406018,0.088507,0.921545,0.011765,0.003922,0.003922
12,0.000000,0.308005,0.439067,0.602093,-0.191005,-0.704972,-0.683031,0.613686,-0.130341,-0.778717,3.269239,0.027188,0.278204,0.950648,0.080168,0.098330,0.544314,0.948867,0.003922,0.003922,0.160784
13,0.000000,0.659843,0.493912,0.892451,0.793434,-0.317115,-0.519519,0.490806,-0.706005,-0.510555,1.164074,0.177215,0.011996,0.229247,1.772451,0.547902,0.222633,0.099326,0.349020,0.058824,0.125490
14,0.000000,0.153910,0.676578,0.683500,0.119742,-0.653207,-0.747651,0.710175,0.399277,-0.579853,4.549553,0.448329,0.702596,0.964907,1.331710,0.726617,0.898394,0.414239,0.003922,0.509804,0.345098
