sampleNumber,e,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
1,0.000000,0.514798,0.572094,0.120784,0.257812,0.535103,-0.804486,-0.528930,0.402997,-0.746877,3.916008,0.248105,0.563673,0.655895,1.994639,0.131232,0.579394,0.001502,0.266667,0.607843,0.047059
2,0.000000,0.536766,0.463145,0.267032,-0.423256,0.042476,-0.905014,0.333722,-0.445225,-0.830906,5.138263,0.345549,0.214538,0.366809,0.453280,0.983314,0.462067,0.457823,0.368628,0.211765,0.129412
3,0.000000,0.345400,0.611940,0.999196,0.567285,0.348989,-0.745919,-0.548203,0.324259,-0.770928,6.112986,0.979924,0.512335,0.232714,1.602299,0.628179,0.720759,0.393155,0.403922,0.631373,0.752941
4,0.000000,0.029150,0.570018,0.447245,-0.447115,0.729510,-0.517595,-0.549899,0.520286,-0.653386,4.606568,0.498779,0.023983,0.621368,1.358389,0.293926,0.529326,0.162133,0.027451,0.450980,0.345098
5,0.000000,0.209175,0.732190,0.133166,0.210632,-0.829713,-0.516925,0.344496,0.354838,-0.869145,2.038239,0.488948,0.221480,0.862548,1.575065,0.361886,0.290420,0.292325,0.149020,0.474510,0.090196
6,0.000000,0.648174,0.333055,0.131742,-0.590226,0.107572,-0.800038,0.826894,0.185380,-0.530925,3.722826,0.460663,0.094036,0.354900,1.308362,0.423452,0.885529,0.648507,0.450980,0.325490,0.105882
7,0.000000,0.767638,0.865177,0.730415,-0.011917,-0.213374,-0.976898,0.080159,-0.346152,-0.934748,5.312633,0.060537,0.812607,0.384245,1.772156,0.649865,0.025471,0.587525,0.752941,0.827451,0.737255
8,0.000000,0.579657,0.915675,0.391681,-0.624403,0.043778,-0.779875,-0.294512,0.791411,-0.535660,5.962865,0.203359,0.107406,0.703811,0.251795,0.958214,0.332503,0.538314,0.286275,0.278431,0.294118
9,0.000000,0.721984,0.088398,0.513167,-0.434248,0.616048,-0.657202,0.213680,0.598962,-0.771742,2.105785,0.250851,0.594395,0.689083,0.512294,0.419541,0.133040,0.743897,0.345098,0.023529,0.372549
10,0.000000,0.861748,0.162327,0.896314,0.114164,0.256238,-0.959848,-0.308795,0.724825,-0.615853,4.023076,0.064246,0.577269,0.365941,1.905938,0.635011,0.705774,0.598561,0.858824,0.188235,0.901961
11,0.000000,0.813046,0.238633,0.248876,-0.365732,0.360647,-0.858006,0.791614,-0.152484,-0.591689,4.323092,0.928385,0.641576,0.704226,0.933852,0.620482,0.782357,0.562754,0.662745,0.192157,0.176471
12,0.000000,0.040000,0.454455,0.203572,0.324415,0.800268,-0.504308,-0.246164,-0.365457,-0.897688,5.244751,0.520222,0.026438,0.054898,0.344245,0.161896,0.494601,0.402563,0.007843,0.172549,0.050980
13,0.000000,0.418980,0.052529,0.177102,-0.207450,0.013668,-0.978150,-0.000796,0.230752,-0.973012,3.297964,0.872316,0.478560,0.786296,1.178613,0.376483,0.136843,0.080088,0.411765,0.015686,0.125490
14,0.000000,0.284465,0.191412,0.641351,0.033686,-0.498314,-0.866342,-0.446366,0.141710,-0.883558,5.387808,0.543804,0.924141,0.690006,0.018600,0.528368,0.622230,0.269574,0.141177,0.172549,0.431373
15,0.000000,0.761836,0.164913,0.802870,-0.243433,0.405655,-0.881013,0.341043,-0.411440,-0.845226,1.023623,0.799542,0.028882,0.450118,0.659617,0.351187,0.398984,0.052211,0.419608,0.062745,0.196078
16,0.000000,0.337544,0.721056,0.502903,0.573886,-0.566667,-0.591222,0.677076,0.189952,-0.710976,4.743962,0.519618,0.835607,0.279287,1.780166,0.505653,0.372679,0.704897,0.329412,0.756863,0.517647
17,0.000000,0.128055,0.033431,0.156193,-0.497238,-0.704407,-0.506523,0.068316,-0.441526,-0.894644,1.811923,0.777025,0.597073,0.534521,1.951710,0.391946,0.791067,0.121947,0.125490,0.082353,0.074510
18,0.000000,0.666195,0.246655,0.529181,-0.326772,0.046431,-0.943962,-0.368050,0.395649,-0.841428,3.970888,0.053665,0.916778,0.686032,0.835134,0.293849,0.553792,0.565999,0.321569,0.270588,0.482353
19,0.000000,0.128382,0.898026,0.121756,-0.225155,0.320513,-0.920096,0.587003,-0.031007,-0.808991,1.369986,0.057805,0.384824,0.711029,1.497686,0.651252,0.156547,0.392600,0.113726,0.450980,0.086275
20,0.000000,0.611111,0.482557,0.722703,-0.448918,0.101507,-0.887789,-0.138175,-0.823685,-0.549955,3.379699,0.927712,0.806784,0.066140,0.368323,0.724980,0.849618,0.967075,0.470588,0.352941,0.411765
21,0.000000,0.168561,0.629260,0.315817,-0.474488,0.594909,-0.648802,0.410251,-0.167074,-0.896538,3.799370,0.883851,0.352115,0.001785,0.299578,0.660267,0.285534,0.308652,0.098039,0.207843,0.074510
22,0.000000,0.753580,0.811537,0.890672,0.631901,0.497905,-0.593962,0.175353,-0.143171,-0.974040,0.324967,0.381563,0.445553,0.903117,0.219790,0.544585,0.812877,0.226564,0.258824,0.341177,0.274510
23,0.000000,0.181518,0.745876,0.133371,0.190391,0.072024,-0.979063,0.189917,0.778824,-0.597799,0.493984,0.511386,0.648412,0.181623,0.885828,0.668039,0.476883,0.361774,0.125490,0.486275,0.054902
24,0.000000,0.779043,0.210916,0.798467,-0.794342,-0.095623,-0.599897,-0.845346,-0.074756,-0.528963,5.157001,0.165316,0.628526,0.274619,0.211345,0.940805,0.121937,0.083431,0.368628,0.141177,0.266667
25,0.000000,0.998230,0.063350,0.362987,0.730934,-0.360826,-0.579258,0.191301,-0.664490,-0.722397,3.451707,0.524114,0.314386,0.593270,0.680012,0.993900,0.054835,0.785188,0.870588,0.007843,0.298039
26,0.000000,0.315978,0.646293,0.904416,-0.131115,0.794303,-0.593205,-0.532619,0.318521,-0.784131,1.212936,0.717051,0.979731,0.814491,0.308686,0.125352,0.275998,0.368897,0.109804,0.372549,0.482353
27,0.000000,0.250411,0.405301,0.745283,0.428796,0.123379,-0.894937,-0.309171,-0.552024,-0.774392,2.801544,0.196206,0.811003,0.653965,0.911759,0.581136,0.815340,0.323019,0.160784,0.372549,0.478431
28,0.000000,0.359662,0.013473,0.618724,0.832574,0.105303,-0.543812,0.285200,-0.723742,-0.628378,5.308061,0.150792,0.910703,0.043644,0.456114,0.769315,0.841657,0.743022,0.200000,0.023529,0.345098
29,0.000000,0.092968,0.904336,0.181822,-0.402468,-0.321380,-0.857167,0.536730,-0.179151,-0.824516,3.322856,0.383783,0.731211,0.017290,0.586029,0.198591,0.465525,0.326435,0.019608,0.639216,0.050980
30,0.000000,0.091163,0.558327,0.734704,-0.734432,0.403823,-0.545470,-0.702981,0.390773,-0.594234,3.213592,0.729834,0.208924,0.830269,0.911590,0.329698,0.045092,0.251207,0.074510,0.141177,0.643137
