sampleNumber,e,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
1,0.000000,0.441856,0.337789,0.220058,-0.372886,-0.594544,-0.712372,-0.371508,0.575682,-0.728403,1.751415,0.987971,0.416878,0.161222,0.866511,0.911048,0.740776,0.465589,0.400000,0.254902,0.121569
2,0.000000,0.172553,0.240008,0.038129,0.441938,-0.548847,-0.709548,-0.113330,0.731395,-0.672471,4.086927,0.294564,0.217826,0.100008,0.594552,0.883393,0.200466,0.948625,0.109804,0.058824,0.023529
3,0.000000,0.345338,0.350890,0.227781,0.346799,0.679858,-0.646160,0.385971,0.101288,-0.916934,1.760940,0.770477,0.806682,0.816587,0.038095,0.908129,0.938371,0.172939,0.164706,0.176471,0.101961
4,0.000000,0.103194,0.676310,0.524310,-0.342278,0.012462,-0.939516,0.680876,-0.175337,-0.711102,4.906096,0.520945,0.153306,0.675520,0.950859,0.704941,0.118411,0.438147,0.082353,0.227451,0.403922
5,0.000000,0.456888,0.955097,0.479660,-0.705981,-0.078120,-0.703909,0.183762,0.366642,-0.912033,2.378897,0.094208,0.315964,0.543389,1.759947,0.692642,0.341485,0.552389,0.458824,0.713726,0.450980
6,0.000000,0.865419,0.516546,0.994792,0.560837,-0.117689,-0.819519,0.517112,0.203244,-0.831437,5.037300,0.494811,0.222339,0.219822,1.599011,0.567834,0.351799,0.086739,0.870588,0.376471,0.435294
7,0.000000,0.044398,0.425669,0.662464,-0.368999,-0.269319,-0.889555,-0.118879,0.494219,-0.861171,1.861699,0.246384,0.266821,0.160908,0.165276,0.408051,0.799509,0.303016,0.003922,0.145098,0.145098
8,0.000000,0.104254,0.326341,0.531953,-0.737087,-0.375261,-0.562034,0.497590,0.356339,-0.790840,2.529566,0.867851,0.560015,0.139807,0.565590,0.844134,0.347596,0.775268,0.062745,0.125490,0.329412
9,0.000000,0.224050,0.417584,0.866056,-0.174505,-0.286039,-0.942194,0.337057,0.781791,-0.524591,0.175033,0.630468,0.854627,0.749588,0.372510,0.954132,0.378465,0.862921,0.113726,0.145098,0.478431
10,0.000000,0.200773,0.910382,0.087418,0.165231,0.796057,-0.582231,0.278924,0.743326,-0.608003,3.058484,0.134259,0.352632,0.201067,1.805629,0.157660,0.020456,0.961295,0.090196,0.333333,0.129412
